pct_1,pct_2,pct_3,pct_4,pct_5,pct_6,candidate,election_name
9,0,352,321,411,427,machine,vote_count_pct_1_pct_2_pct_3_pct4_pct5_pct6_total_percent
12,0,754,743,975,968,machine,vote_count_pct_1_pct_2_pct_3_pct4_pct5_pct6_total_percent
3,0,1206,1139,1424,1274,machine,vote_count_pct_1_pct_2_pct_3_pct4_pct5_pct6_total_percent
6,0,1585,1587,1881,1789,machine,vote_count_pct_1_pct_2_pct_3_pct4_pct5_pct6_total_percent
8,0,1817,1942,2124,2122,"machine,totalfinal",vote_count_pct_1_pct_2_pct_3_pct4_pct5_pct6_total_percent
11,13,1,1,4,11,"hand,count",vote_count_pct_1_pct_2_pct_3_pct4_pct5_pct6_total_percent
17,23,18,26,11,24,overseas,vote_count_pct_1_pct_2_pct_3_pct4_pct5_pct6_total_percent
1845,1978,2143,2149,2071,1836,"total,voted",vote_count_pct_1_pct_2_pct_3_pct4_pct5_pct6_total_percent
2304,2345,2462,2551,2511,2230,"totalregistered,voters",total_registered_voters_2304_2345_2462_2551_2511_2230_14403
8,4,8,6,8,5,blanks,elector_s_of_pr_esident_and_vice_pr_esident
18,19,34,25,25,15,"johnson,and,gray",elector_s_of_pr_esident_and_vice_pr_esident
1228,1216,1378,1462,1454,1134,"obama,and,biden",elector_s_of_pr_esident_and_vice_pr_esident
583,722,699,636,565,670,"romney,and,ryan",elector_s_of_pr_esident_and_vice_pr_esident
5,14,24,20,11,9,"stein,and,honkala",elector_s_of_pr_esident_and_vice_pr_esident
3,3,0,0,8,3,scattered,elector_s_of_pr_esident_and_vice_pr_esident
1845,1978,2143,2149,2071,1836,total,elector_s_of_pr_esident_and_vice_pr_esident
7,9,10,13,13,13,blanks,senator_in_congr_ess
732,920,876,832,781,824,"scott,p.,brown",senator_in_congr_ess
1102,1048,1255,1303,1273,996,"elizabeth,a.,warren",senator_in_congr_ess
4,1,2,1,4,3,scattered,senator_in_congr_ess
1845,1978,2143,2149,2071,1836,total,senator_in_congr_ess
60,48,64,56,66,48,blanks,r_ep_in_congr_ess
1281,1302,1485,1528,1513,1228,"nicola,s.,tsongas",r_ep_in_congr_ess
503,627,592,560,488,559,"jonathan,a.,golnik",r_ep_in_congr_ess
1,1,2,5,4,1,scattered,r_ep_in_congr_ess
1845,1978,2143,2149,2071,1836,total,r_ep_in_congr_ess
311,384,433,414,367,347,blanks,councillor
1142,1137,1274,1300,1305,1067,"marilyn,m.,petitto",councillor
385,456,435,432,393,421,"thomas,sheff",councillor
7,1,1,3,6,1,scattered,councillor
1845,1978,2143,2149,2071,1836,total,councillor
113,108,98,96,104,109,blanks,sen_in_gener_al_cour_t
1263,1300,1484,1567,1499,1172,"james,b.,eldridge",sen_in_gener_al_cour_t
467,569,561,485,463,555,"dean,j.,cavaretta",sen_in_gener_al_cour_t
2,1,0,1,5,0,scattered,sen_in_gener_al_cour_t
1845,1978,2143,2149,2071,1836,total,sen_in_gener_al_cour_t
130,139,0,0,0,123,blanks,r_ep_in_gener_al_cour_t_14th_pct_126
1189,1197,0,0,0,1138,"cory,atkins",r_ep_in_gener_al_cour_t_14th_pct_126
523,642,0,0,0,575,"michael,j.,benn",r_ep_in_gener_al_cour_t_14th_pct_126
3,0,0,0,0,0,scattered,r_ep_in_gener_al_cour_t_14th_pct_126
1845,1978,0,0,0,1836,total,r_ep_in_gener_al_cour_t_14th_pct_126
0,0,535,473,454,0,blanks,r_ep_in_gener_al_cour_t_37th_pct_345
0,0,1586,1657,1595,0,"jennifer,e.,benson",r_ep_in_gener_al_cour_t_37th_pct_345
0,0,22,19,22,0,scattered,r_ep_in_gener_al_cour_t_37th_pct_345
0,0,2143,2149,2071,0,total,r_ep_in_gener_al_cour_t_37th_pct_345
473,556,612,581,520,542,blanks,cler_k_of_cour_ts
1357,1409,1520,1560,1535,1278,"michael,a.,sullivan",cler_k_of_cour_ts
15,13,11,8,16,16,scattered,cler_k_of_cour_ts
1845,1978,2143,2149,2071,1836,total,cler_k_of_cour_ts
362,412,479,457,389,380,blanks,sher_iff
1120,1146,1267,1287,1295,1050,"peter,j.,koutoujian",sher_iff
359,419,394,401,378,402,"ernesto,m.,petrone",sher_iff
4,1,3,4,9,4,scattered,sher_iff
1845,1978,2143,2149,2071,1836,total,sher_iff
497,582,632,609,535,563,blanks,r_egister_of_deeds
1335,1386,1498,1530,1515,1262,"maria,c.,curtatone",r_egister_of_deeds
13,10,13,10,21,11,scattered,r_egister_of_deeds
1845,1978,2143,2149,2071,1836,total,r_egister_of_deeds
218,210,233,252,199,204,blanks,x
1409,1537,1713,1680,1695,1428,yes,x
218,231,197,217,177,204,no,x
1845,1978,2143,2149,2071,1836,total,x
51,52,58,67,53,46,blanks,question_2_physician_prescribe_m_eds
1105,1112,1226,1276,1203,1063,yes,question_2_physician_prescribe_m_eds
689,814,859,806,815,727,no,question_2_physician_prescribe_m_eds
1845,1978,2143,2149,2071,1836,total,question_2_physician_prescribe_m_eds
60,65,58,68,65,53,blanks,question_3_m_edical_m_arijuana
1145,1189,1371,1400,1316,1181,yes,question_3_m_edical_m_arijuana
640,724,714,681,690,602,no,question_3_m_edical_m_arijuana
1845,1978,2143,2149,2071,1836,total,question_3_m_edical_m_arijuana
275,297,265,285,263,256,blanks,question_4_non_binding
1268,1310,1528,1530,1509,1244,yes,question_4_non_binding
302,371,350,334,299,336,no,question_4_non_binding
1845,1978,2143,2149,2071,1836,total,question_4_non_binding
